Sentence,Corrected Sentence,Translation,Student_Emotion,Pipeline_Emotion,Core_Pipeline_Emotion,Corrected_Emotion
"De grote bouwbouw, dat is zo'n mooi ding.","De grote bouwbouw, dat is zo'n mooi ding.","The big construction site, that is such a beautiful thing.",Happiness,admiration,happiness,happiness
Helemaal.,Helemaal.,Absolutely.,Netural,approval,happiness,neutral
En die boom dan.,En die boom dan.,And then that tree.,Neutral,neutral,neutral,neutral
"Zit eruit? Komt eruit? Ja, ik doe het zelf even.","Zit eruit? Komt eruit? Ja, ik doe het zelf even.","Is it out? Is it coming out? Yeah, I'll do it myself.",Neutral,determination,neutral,neutral
Dat moet je voor jezelf doen.,Dat moet je voor jezelf doen.,You have to do that for yourself.,Disgust,neutral,neutral,neutral
"Jij kan misschien niet zo slim zijn, maar ik wil gewoon niet glijden.","Jij kan misschien niet zo slim zijn, maar ik wil gewoon niet glijden.","You may not be that smart, but I just don't want to slide.",Neutral,determination,neutral,neutral
We zijn vandaag Erich het eiland aan het ontdekken.,We zijn vandaag Erich het eiland aan het ontdekken.,Today we are exploring the island with Erich.,Neutral,excitement,happiness,neutral
En daar zijn we nu eigenlijk met z'n allen heel goed mee bezig.,En daar zijn we nu eigenlijk met z'n allen heel goed mee bezig.,And we are actually all doing very well with that now.,Neutral,optimism,happiness,happiness
"Sebas, je klimt die boom in.","Sebas, je klimt die boom in.","Sebas, you climb the tree.",Neutral,neutral,neutral,neutral
"Dominique zegt nog, pas op, pas op.","Dominique zegt nog, pas op, pas op.","Dominique also says, be careful, be careful.",Fear,fear,fear,fear
"Hij glijdt uit en ik dacht, dit is einde oefening voor Sebas.","Hij glijdt uit en ik dacht, dit is einde oefening voor Sebas.","He slips and I thought, this is the end of the exercise for Sebas.",Fear,fear,fear,fear
Die zien we niet meer terug. Als eerste geëlimineerd.,Die zien we niet meer terug. Als eerste geëlimineerd.,We won't see them again. Eliminated first.,Neutral,disappointment,sadness,neutral
Hadden we bijna met zes man die proef moeten doen.,Hadden we bijna met zes man die proef moeten doen.,We almost had to do that test with six people.,Anger,relief,happiness,happiness
"Dat ging goed, gelukkig.","Dat ging goed, gelukkig.","That went well, fortunately.",Happiness,relief,happiness,happiness
De nauwe nood.,De nauwe nood.,The close need.,Neutral,neutral,neutral,neutral
"Oké, let's go back.","Oké, let's go back.","Oké, let's go back.",Neutral,neutral,neutral,neutral
Dit eiland is prachtig.,Dit eiland is prachtig.,This island is beautiful.,Happiness,admiration,happiness,happiness
Er zijn alleen twee nadelen.,Er zijn alleen twee nadelen.,There are only two drawbacks.,Neutral,disappointment,sadness,sadness
Ep en vloed.,Ep en vloed.,Ebb and flow.,Neutral,neutral,neutral,neutral
En regen.,En regen.,And rain.,Saddness,disappointment,sadness,neutral
MUZIEK.,MUZIEK.,MUSIC.,Happiness,neutral,neutral,neutral
Hoe gaan we het schapen jongens?,Hoe gaan we het schapen jongens?,How are we going to sheep boys?,Neutral,confusion,sadness,neutral
Het liefst gewoon natuurlijk dat het doorloopt en dan die vevelen er bovenop.,Het liefst gewoon natuurlijk dat het doorloopt en dan die vevelen er bovenop.,I would prefer it to just continue naturally and then have those bores on top of it.,Neutral,annoyance,anger,neutral
"Het regent best wel veel en dat heb ik nog niet eerder meegemaakt met mijn expeditie-Rommerson,","Het regent best wel veel en dat heb ik nog niet eerder meegemaakt met mijn expeditie-Rommerson,","It rains quite a lot and I have never experienced that before with my expedition Rommerson,",Fear,disappointment,sadness,fear
dat ik met ponchos loop en dat het echt met bakken uit de hemel valt.,dat ik met ponchos loop en dat het echt met bakken uit de hemel valt.,that I'm walking around with ponchos and that it's really pouring rain.,Anger,disappointment,sadness,anger
Wat is het idee van het dak? Ik heb me daar niet mee bezig gehouden.,Wat is het idee van het dak? Ik heb me daar niet mee bezig gehouden.,What is the idea of ​​the roof? I have not been concerned with that.,Neutral,confusion,sadness,neutral
Het plan van vlechten is afgeschoten.,Het plan van vlechten is afgeschoten.,The braiding plan has been scrapped.,Neutral,disappointment,sadness,neutral
Dat hoor ik.,Dat hoor ik.,I hear that.,Neutral,neutral,neutral,neutral
We kunnen dat stoel er nog tussen leggen en zij heeft een idee hoe dat moet.,We kunnen dat stoel er nog tussen leggen en zij heeft een idee hoe dat moet.,We can still put that chair in between and she has an idea how to do that.,Neutral,curiosity,neutral,neutral
En misschien zowel in de lengte als in de breedte?,En misschien zowel in de lengte als in de breedte?,And maybe both in length and width?,Neutral,curiosity,neutral,neutral
"Ja, dan gaan we hier een strandje maken en dan kunnen we lekker op het strandzand liggen.","Ja, dan gaan we hier een strandje maken en dan kunnen we lekker op het strandzand liggen.","Yes, then we'll make a little beach here and we can lie down on the beach sand.",Neutral,optimism,happiness,happiness
"Oei, daar komt zand al aan.","Oei, daar komt zand al aan.","Oops, there's sand coming already.",Neutral,surprise,surprise,surprise
Wat een beetje wordt dit hoor!,Wat een beetje wordt dit hoor!,How nice this is becoming!,Happiness,joy,happiness,happiness
MUZIEK.,MUZIEK.,MUSIC.,Happiness,neutral,neutral,neutral
MUZIEK.,MUZIEK.,MUSIC.,Happiness,neutral,neutral,neutral
Kun je even blazen Niels?,Kun je even blazen Niels?,"Can you blow for a moment, Niels?",Neutral,neutral,neutral,neutral
MUZIEK.,MUZIEK.,MUSIC.,Happiness,neutral,neutral,neutral
Voel je je longen uit? Die zitten er nog lekker in.,Voel je je longen uit? Die zitten er nog lekker in.,Do you feel your lungs out? They are still there.,Neutral,amusement,happiness,neutral
Waar rook is? Is het vuur?,Waar rook is? Is het vuur?,Where's smoke? Is it fire?,Fear,curiosity,neutral,neutral
Is soms vuur.,Is soms vuur.,Is sometimes fire.,Neutral,realization,surprise,neutral
"Ja, dat is gewoon...","Ja, dat is gewoon...","Yeah, that's just...",neutral,neutral,neutral,neutral
De Moonwalk van Niels kan je op vele manieren uitleggen.,De Moonwalk van Niels kan je op vele manieren uitleggen.,Niels' Moonwalk can be explained in many ways.,neutral,amusement,happiness,neutral
"Ja, weet je, ik zal heel eerlijk zijn.","Ja, weet je, ik zal heel eerlijk zijn.","Yeah, you know, I'll be very honest.",neutral,neutral,neutral,neutral
Ik vond het echt wel rete irritant.,Ik vond het echt wel rete irritant.,I found it really annoying.,disgust,annoyance,anger,anger
In mijn hoofd zit echt...,In mijn hoofd zit echt...,In my head there is really...,neutral,confusion,sadness,neutral
"Niels, als ik jou ooit nog tegenkom bij de samensmelting,","Niels, als ik jou ooit nog tegenkom bij de samensmelting,","Niels, if I ever meet you again at the merger,",anger,neutral,neutral,neutral
dan maak ik je helemaal kapot!,dan maak ik je helemaal kapot!,then I will destroy you completely!,anger,anger,anger,anger
MUZIEK.,MUZIEK.,MUSIC.,neutral,neutral,neutral,neutral
Ik kon echt wel janken. Ik stond echt zo van...,Ik kon echt wel janken. Ik stond echt zo van...,I could really cry. I was like...,sadness,sadness,sadness,sadness
"Jezus, ja, gewoon kut!","Jezus, ja, gewoon kut!","Jesus, yeah, just shit!",anger,disgust,disgust,disgust
"Ja, er moet gewoon iemand naar huis.","Ja, er moet gewoon iemand naar huis.","Yeah, someone just has to go home.",neutral,disappointment,sadness,neutral
Het is de nederlaag nummer twee en die komt hard binnen.,Het is de nederlaag nummer twee en die komt hard binnen.,It is defeat number two and it hits hard.,sadness,disappointment,sadness,sadness
En het besef daalt onmiddellijk in dat we naar de eiland moeten.,En het besef daalt onmiddellijk in dat we naar de eiland moeten.,And the realization immediately dawns that we have to go to the island.,neutral,realization,surprise,neutral
"We hebben geen tijd om even bij te komen, helemaal niks.","We hebben geen tijd om even bij te komen, helemaal niks.","We don't have time to recover, nothing at all.",neutral,stress,sadness,neutral
Het is gewoon stemmen met je donder.,Het is gewoon stemmen met je donder.,It's just voting with your thunder.,neutral,neutral,neutral,neutral
"Ja, we gaan denk ik allemaal kijken wat het sterkste team is.","Ja, we gaan denk ik allemaal kijken wat het sterkste team is.","Yeah, I think we're all going to see which is the strongest team.",neutral,curiosity,neutral,neutral
We willen ook gewoon op mij stemmen.,We willen ook gewoon op mij stemmen.,We just want to vote for me.,neutral,disappointment,sadness,neutral
"Ja, het is echt een grafstemming.","Ja, het is echt een grafstemming.","Yes, it really is a grave atmosphere.",fear,sadness,sadness,fear
Ik heb de kans dat ik straks naar huis moet.,Ik heb de kans dat ik straks naar huis moet.,There is a chance that I will have to go home soon.,neutral,fear,fear,neutral
MUZIEK.,MUZIEK.,MUSIC.,neutral,neutral,neutral,neutral
GEJUICH.,GEJUICH.,CHEERS.,happiness,joy,happiness,happiness
"Geen eilandraad, wij zijn veilig en dat betekent een heerlijke sfeer in het kamp.","Geen eilandraad, wij zijn veilig en dat betekent een heerlijke sfeer in het kamp.","No island council, we are safe and that means a wonderful atmosphere in the camp.",happiness,relief,happiness,happiness
GEJUICH.,GEJUICH.,CHEERING.,happiness,joy,happiness,happiness
Dus die failliet was eigenlijk helemaal niet nodig?,Dus die failliet was eigenlijk helemaal niet nodig?,So the bankruptcy was actually not necessary at all?,surprise,realization,surprise,surprise
"Nee, schat.","Nee, schat.",No honey.,neutral,neutral,neutral,neutral
Dat weet je nooit zeker?,Dat weet je nooit zeker?,You never know for sure?,surprise,confusion,sadness,neutral
Ik wil de boek niet doen.,Ik wil de boek niet doen.,I don't want to do the book.,disgust,disapproval,disgust,disgust
Maar we zijn er maar kwijt en dan hebben we dat gezeik niet meer.,Maar we zijn er maar kwijt en dan hebben we dat gezeik niet meer.,But we only get rid of them and then we don't have that hassle anymore.,disgust,relief,happiness,disgust
"Dat weet je ook nooit zeker, nee.","Dat weet je ook nooit zeker, nee.","You never know for sure, no.",neutral,confusion,sadness,neutral
GELACH.,GELACH.,LAUGHTER.,happiness,amusement,happiness,happiness
"Geen eilandraad, het scheelt zoveel stress.","Geen eilandraad, het scheelt zoveel stress.","No island council, it saves so much stress.",happiness,relief,happiness,happiness
"Nee, het is heerlijk man.","Nee, het is heerlijk man.","No, it's wonderful man.",happiness,joy,happiness,happiness
Laat dit team gewoon intact blijven tot een mogelijke samensmelting.,Laat dit team gewoon intact blijven tot een mogelijke samensmelting.,Just let this team remain intact until a possible merge.,neutral,hope,happiness,neutral
"Het is niet mogelijk, daar gaan we gewoon voor.","Het is niet mogelijk, daar gaan we gewoon voor.","It's not possible, we're just going for it.",anger,determination,neutral,anger
"Fuck ja, jeetje jongens, we hoeven niks te doen.","Fuck ja, jeetje jongens, we hoeven niks te doen.","Fuck yeah, gee guys, we don't have to do anything.",happiness,relief,happiness,happiness
Ik weet nog in mijn expeditie moest ik iedere proef achter elkaar naar de eilandraad.,Ik weet nog in mijn expeditie moest ik iedere proef achter elkaar naar de eilandraad.,I remember during my expedition I had to go to the island council for every test one after the other.,disgust,disappointment,sadness,sadness
Ik heb toen nog nooit geen eilandraad gezien.,Ik heb toen nog nooit geen eilandraad gezien.,I had never seen an island council before.,surprise,neutral,neutral,neutral
"En nu dacht ik, ik ben er even van af.","En nu dacht ik, ik ben er even van af.","And now I thought, I'm done with it for a while.",disgust,relief,happiness,happiness
En dat is eigenlijk een heel lekker gevoel.,En dat is eigenlijk een heel lekker gevoel.,And that's actually a really nice feeling.,happiness,joy,happiness,happiness
Wie denk je dat eruit gaat?,Wie denk je dat eruit gaat?,Who do you think will get out?,neutral,curiosity,neutral,neutral
Ik denk Thomas of Christel.,Ik denk Thomas of Christel.,I think Thomas or Christel.,neutral,confusion,sadness,neutral
"Ik weet niet waarom, maar ik heb het gevoel dat het andere groepje heel erg hecht is.","Ik weet niet waarom, maar ik heb het gevoel dat het andere groepje heel erg hecht is.","I don't know why, but I feel like the other group is really close.",neutral,nervousness,fear,fear
Maar ik denk wel dat ze vandaag echt heel erg balen.,Maar ik denk wel dat ze vandaag echt heel erg balen.,But I do think they are really disappointed today.,neutral,realization,surprise,neutral
"Nee man, maar je bent ziek.","Nee man, maar je bent ziek.","No man, but you're sick.",happiness,disapproval,disgust,disgust
"Ja, ergens rond die boom. Maxiem, bedankt.","Ja, ergens rond die boom. Maxiem, bedankt.","Yes, somewhere around that tree. Maxim, thank you.",neutral,gratitude,happiness,neutral
Tot straks. Dank je wel.,Tot straks. Dank je wel.,See you later. Thank you.,neutral,gratitude,happiness,neutral
We moeten even uit het park.,We moeten even uit het park.,We need to get out of the park for a while.,fear,nervousness,fear,fear
Ik wil niet in een park opgepakt worden.,Ik wil niet in een park opgepakt worden.,I don't want to get picked up in a park.,fear,fear,fear,fear
Terwijl Hunterteam 1 met spoed naar Breda rijdt...,Terwijl Hunterteam 1 met spoed naar Breda rijdt...,While Hunter Team 1 rushes to Breda...,neutral,excitement,happiness,neutral
is Team 2 voor een snelle sweep aangekomen bij de camping...,is Team 2 voor een snelle sweep aangekomen bij de camping...,Team 2 has arrived at the campsite for a quick sweep...,neutral,neutral,neutral,neutral
die naar voren is gekomen als mogelijke schuilplaats van Aygun en Rajiv.,die naar voren is gekomen als mogelijke schuilplaats van Aygun en Rajiv.,which has emerged as a possible hideout of Aygun and Rajiv.,neutral,curiosity,neutral,neutral
De receptie is gesloten.,De receptie is gesloten.,The reception is closed.,neutral,disappointment,sadness,neutral
"Hallo, mevrouw. Wij zijn op zoek naar een paar voortsvluchtigen.","Hallo, mevrouw. Wij zijn op zoek naar een paar voortsvluchtigen.",Hello Miss. We're looking for some fugitives.,neutral,neutral,neutral,neutral
"O, jeetje.","O, jeetje.","Oh, dear.",surprise,surprise,surprise,surprise
En deze mensen zien er zo uit.,En deze mensen zien er zo uit.,And these people look like this.,neutral,neutral,neutral,neutral
Zijn ze op dit moment hoogblond?,Zijn ze op dit moment hoogblond?,Are they currently blonde?,neutral,curiosity,neutral,neutral
"Nee, absoluut niet.","Nee, absoluut niet.",No absolutely not.,neutral,disapproval,disgust,disgust
Ik ben hier ook niet de hele dag geweest.,Ik ben hier ook niet de hele dag geweest.,I haven't been here all day either.,neutral,neutral,neutral,neutral
"En dit is heel rustig, dus je ziet iedereen langskomen.","En dit is heel rustig, dus je ziet iedereen langskomen.","And this is very quiet, so you see everyone passing by.",neutral,neutral,neutral,neutral
"Nee, ik weet het niet.","Nee, ik weet het niet.",No I do not know.,neutral,confusion,sadness,neutral
"Nou, zoeken we verder. Dank je wel.","Nou, zoeken we verder. Dank je wel.","Well, let's keep looking. Thank you.",neutral,determination,neutral,neutral
Kijken we even verder. Bedankt voor je tijd.,Kijken we even verder. Bedankt voor je tijd.,Let's look further. Thank you for your time.,neutral,gratitude,happiness,neutral
"AQ, Team 2, camping is negatief.","AQ, Team 2, camping is negatief.","AQ, Team 2, campsite is negative.",neutral,disappointment,sadness,neutral
We hebben hier en daar mensen bevraagd die wel aanwezig zijn...,We hebben hier en daar mensen bevraagd die wel aanwezig zijn...,We have asked people here and there who are present...,neutral,neutral,neutral,neutral
maar geen signalen dat hier de twee zich hebben opgehouden.,maar geen signalen dat hier de twee zich hebben opgehouden.,but no signals that the two have been there.,neutral,disappointment,sadness,sadness
Hoewel de hunters akelig dichtbij waren...,Hoewel de hunters akelig dichtbij waren...,Even though the hunters were awfully close...,fear,nervousness,fear,fear
is het Aygun en Rajiv gelukt om ongezien Rotterdam uit te komen.,is het Aygun en Rajiv gelukt om ongezien Rotterdam uit te komen.,Aygun and Rajiv managed to get out of Rotterdam unnoticed.,happiness,relief,happiness,happiness
"En ze zijn nu in Amersfoort, bij kennissen.","En ze zijn nu in Amersfoort, bij kennissen.","And they are now in Amersfoort, with acquaintances.",neutral,neutral,neutral,neutral
Jij wilt niet weten wat voor stress we vandaag hebben meegemaakt.,Jij wilt niet weten wat voor stress we vandaag hebben meegemaakt.,You don't want to know what kind of stress we went through today.,anger,stress,sadness,anger
"Hier? O, toppie. Nou.","Hier? O, toppie. Nou.",Here? Oh great. Well.,surprise,surprise,surprise,surprise
Hallo. Hello.,Hallo. Hello.,Hello Hello.,neutral,neutral,neutral,neutral
Dank je wel. Thanks.,Dank je wel. Thanks.,Thank you. Thanks.,neutral,gratitude,happiness,happiness
Hoi. Toch.,Hoi. Toch.,Hi. Still.,neutral,neutral,neutral,neutral
"We zijn er, schat.","We zijn er, schat.","We're here, baby.",happiness,relief,happiness,happiness
Op het hoofdkwartier willen ze nu zo snel mogelijk naar Rajivs vader.,Op het hoofdkwartier willen ze nu zo snel mogelijk naar Rajivs vader.,At headquarters they now want to get to Rajiv's father as quickly as possible.,neutral,urgency,fear,fear
Het kan niet anders dan dat hij het duo een lift heeft gegeven...,Het kan niet anders dan dat hij het duo een lift heeft gegeven...,It can only be that he gave the duo a lift...,neutral,realization,surprise,surprise
en ze sluiten niet uit dat hij ze nog een keer te hulp zal schieten.,en ze sluiten niet uit dat hij ze nog een keer te hulp zal schieten.,and they do not rule out that he will come to their aid again.,neutral,anticipation,happiness,neutral
"Als dat zo is, willen de hunters daarbij zijn.","Als dat zo is, willen de hunters daarbij zijn.","If so, the hunters want to be there.",neutral,determination,neutral,neutral
Die vader heeft die gasten waarschijnlijk gebracht...,Die vader heeft die gasten waarschijnlijk gebracht...,That dad probably brought those guys...,neutral,realization,surprise,neutral
"maar er mag geen woord over gezegd worden, helemaal niks.","maar er mag geen woord over gezegd worden, helemaal niks.","but not a word can be said about it, nothing at all.",fear,frustration,anger,anger
Met de achterliggende reden dat we er later nog op willen investeren?,Met de achterliggende reden dat we er later nog op willen investeren?,With the underlying reason that we want to invest in it later?,neutral,curiosity,neutral,neutral
Ik ben er bijna van overtuigd dat die vader een spil gaat worden in dat verhaal.,Ik ben er bijna van overtuigd dat die vader een spil gaat worden in dat verhaal.,I'm almost convinced that father will become a pivotal figure in that story.,neutral,realization,surprise,neutral
Ze gaan een bakel onder die auto doen.,Ze gaan een bakel onder die auto doen.,They're going to put a hammer under that car.,fear,anticipation,happiness,fear
Maar het is heel logisch dat je daar...,Maar het is heel logisch dat je daar...,But it makes perfect sense that you...,neutral,realization,surprise,surprise
"Team 2, haak u over.","Team 2, haak u over.","Team 2, move over.",neutral,neutral,neutral,neutral
Zouden jullie willen gaan richting Leiden?,Zouden jullie willen gaan richting Leiden?,Would you like to go to Leiden?,neutral,curiosity,neutral,neutral
"Een verhoor van die vader, alsof we van niks weten?","Een verhoor van die vader, alsof we van niks weten?","An interrogation of that father, as if we don't know anything?",anger,confusion,sadness,anger
De spullen van Rajiv mogen ook in beslag genomen worden.,De spullen van Rajiv mogen ook in beslag genomen worden.,Rajiv's belongings may also be confiscated.,fear,disapproval,disgust,fear
Dan verdelen we de zaken en kan de jacht los.,Dan verdelen we de zaken en kan de jacht los.,Then we divide the cases and the hunt can begin.,neutral,excitement,happiness,happiness
Ik moet echt weg.,Ik moet echt weg.,I really have to go.,neutral,nervousness,fear,neutral
Fuck.,Fuck.,Fuck.,anger,anger,anger,anger
Dat hoofdkantoor zit hier in Rotterdam.,Dat hoofdkantoor zit hier in Rotterdam.,That head office is located here in Rotterdam.,neutral,neutral,neutral,neutral
We zijn hier binnen twee minuten.,We zijn hier binnen twee minuten.,We'll be here in two minutes.,neutral,anticipation,happiness,neutral
Bijna iedereen is weg van de startlocatie.,Bijna iedereen is weg van de startlocatie.,Almost everyone is away from the starting location.,neutral,realization,surprise,surprise
Op twee koppels na.,Op twee koppels na.,Except for two couples.,neutral,surprise,surprise,neutral
Een van die twee is het voortvluchtige duo Bishan en Shiva.,Een van die twee is het voortvluchtige duo Bishan en Shiva.,One of those two is the fugitive duo Bishan and Shiva.,neutral,curiosity,neutral,neutral
Twee trotse Venlo'ers en boezemvrienden.,Twee trotse Venlo'ers en boezemvrienden.,Two proud Venlo residents and best friends.,happiness,admiration,happiness,happiness
Die wel van spanning houden.,Die wel van spanning houden.,Who like tension.,neutral,curiosity,neutral,neutral
Wat wil je nou gaan doen? We moeten weg.,Wat wil je nou gaan doen? We moeten weg.,What do you want to do now? We have to leave.,neutral,nervousness,fear,fear
Welke kant op? Die kant op.,Welke kant op? Die kant op.,Which way? That way.,neutral,confusion,sadness,sadness
Ik zag daar allemaal dingen.,Ik zag daar allemaal dingen.,I saw all kinds of things there.,neutral,curiosity,neutral,neutral
In stress doen wij samen het heel goed.,In stress doen wij samen het heel goed.,We do very well together under stress.,happiness,approval,happiness,happiness
We kunnen elkaar goed scherp houden.,We kunnen elkaar goed scherp houden.,We can keep each other sharp.,happiness,approval,happiness,happiness
"Als de een afzwakt, weet de ander elkaar weer scherp te krijgen.","Als de een afzwakt, weet de ander elkaar weer scherp te krijgen.","If one weakens, the other manages to bring each other back into focus.",happiness,admiration,happiness,happiness
"Ze zeggen van kom op, even focus, en dan weer door.","Ze zeggen van kom op, even focus, en dan weer door.","They say come on, focus for a moment, and then move on.",neutral,approval,happiness,neutral
"Luister, wat gaan we nou doen?","Luister, wat gaan we nou doen?","Listen, what are we going to do now?",neutral,confusion,sadness,sadness
Echt stress hebben wij nooit.,Echt stress hebben wij nooit.,We never really have stress.,neutral,pride,happiness,happiness
"Op straat een busje aanhouden, rijden, dat werkt niet.","Op straat een busje aanhouden, rijden, dat werkt niet.","Hailing a van on the street, driving, that doesn't work.",neutral,disappointment,sadness,sadness
Niet dat we daaraan onderdoor gaan.,Niet dat we daaraan onderdoor gaan.,Not that we will lose out on that.,neutral,optimism,happiness,neutral
Dat we dan stil komen te vallen.,Dat we dan stil komen te vallen.,That we will then come to a standstill.,neutral,fear,fear,fear
Of dat we niet meer weten wat we moeten doen.,Of dat we niet meer weten wat we moeten doen.,Or that we no longer know what to do.,neutral,fear,fear,fear
Ik weet het niet.,Ik weet het niet.,Don't know.,neutral,confusion,sadness,sadness
Concrete plannen hebben we niet gemaakt.,Concrete plannen hebben we niet gemaakt.,We have not made any concrete plans.,neutral,realization,surprise,surprise
Dat past niet bij ons.,Dat past niet bij ons.,That doesn't suit us.,neutral,disapproval,disgust,disgust
We willen op dat moment kijken wat het beste is.,We willen op dat moment kijken wat het beste is.,We want to see what is best at that moment.,neutral,desire,happiness,neutral
En op basis daarvan beslissingen nemen.,En op basis daarvan beslissingen nemen.,And make decisions based on that.,neutral,desire,happiness,neutral
We gaan naar het station kijken of we onderweg iets kunnen fixen.,We gaan naar het station kijken of we onderweg iets kunnen fixen.,We're going to the station to see if we can fix anything along the way.,neutral,optimism,happiness,neutral
Daar gewoon pinnen en wegwezen.,Daar gewoon pinnen en wegwezen.,Just pin there and go.,neutral,desire,happiness,neutral
De plan is altijd spelbaar.,De plan is altijd spelbaar.,The plan is always playable.,neutral,optimism,happiness,happiness
"En als we zelf niet weten wat we gaan doen, weten de onderzoekers het ook niet.","En als we zelf niet weten wat we gaan doen, weten de onderzoekers het ook niet.","And if we don't know what we're going to do ourselves, the researchers don't know either.",neutral,optimism,happiness,sadness
Station dan.,Station dan.,Stations and.,neutral,neutral,neutral,neutral
En dan richting Eindhoven.,En dan richting Eindhoven.,And then towards Eindhoven.,neutral,desire,happiness,neutral
In Eindhoven heb je sowieso poortjes.,In Eindhoven heb je sowieso poortjes.,In Eindhoven you have gates anyway.,neutral,realization,surprise,neutral
Dan weten ze dat we daaruit stappen.,Dan weten ze dat we daaruit stappen.,Then they know that we are leaving.,neutral,realization,surprise,surprise
"Maar als we dat niet uitchecken, weten ze ook dat we dat niet...","Maar als we dat niet uitchecken, weten ze ook dat we dat niet...","But if we don't check that out, they also know that we don't...",neutral,realization,surprise,surprise
Weet je wat we doen?,Weet je wat we doen?,Do you know what we do?,neutral,curiosity,neutral,neutral
We geven die af in Eindhoven.,We geven die af in Eindhoven.,We deliver them in Eindhoven.,neutral,surprise,surprise,neutral
We stappen in station 1 of 2 voor eerder uit.,We stappen in station 1 of 2 voor eerder uit.,We get off at station 1 or 2 for an earlier exit.,neutral,optimism,happiness,neutral
We geven die aan andere mensen in de trein die wel in Eindhoven uitstappen.,We geven die aan andere mensen in de trein die wel in Eindhoven uitstappen.,We give them to other people on the train who get off in Eindhoven.,neutral,surprise,surprise,neutral
"Als we helemaal gaan, moeten we gewoon gaan.","Als we helemaal gaan, moeten we gewoon gaan.","If we're going all the way, we just have to go.",neutral,determination,neutral,neutral
En dan zien we waar het heen ligt.,En dan zien we waar het heen ligt.,And then we'll see where it goes.,neutral,curiosity,neutral,neutral
Dan denken ze dat wij daar zijn uitgestapt.,Dan denken ze dat wij daar zijn uitgestapt.,Then they think we got off there.,neutral,optimism,happiness,neutral
De hunters halen alles uit de kast om dit te voorkomen.,De hunters halen alles uit de kast om dit te voorkomen.,The hunters do everything they can to prevent this.,Neutral,determination,neutral,neutral
Zoeken op 1. Op 1. Machtiging vragen.,Zoeken op 1. Op 1. Machtiging vragen.,Search on 1. On 1. Request authorization.,Neutral,desire,happiness,neutral
Machtiging vragen op 1.,Machtiging vragen op 1.,Request authorization on 1.,Neutral,desire,happiness,neutral
"Team 2, team 3, houtrakkerweg nummer 1.","Team 2, team 3, houtrakkerweg nummer 1.","Team 2, team 3, logging road number 1.",Neutral,neutral,neutral,neutral
Vanuit het hoofdkwartier maken zij jacht op de wortvluchtigen.,Vanuit het hoofdkwartier maken zij jacht op de wortvluchtigen.,From headquarters they hunt for the wort fugitives.,Neutral,determination,neutral,neutral
Waar wachten we op?,Waar wachten we op?,What are we waiting for?,surprise,impatience,neutral,neutral
Aan het hoofd van het team staat zoals altijd...,Aan het hoofd van het team staat zoals altijd...,"As always, at the head of the team is...",Neutral,neutral,neutral,neutral
oud-politiecommissaris Sander Schaapman.,oud-politiecommissaris Sander Schaapman.,former police commissioner Sander Schaapman.,Neutral,admiration,happiness,neutral
500 euro als het leidt tot de aanhouding.,500 euro als het leidt tot de aanhouding.,500 euros if it leads to the arrest.,Neutral,desire,happiness,neutral
De operationeel leider is Marcel van der Ven.,De operationeel leider is Marcel van der Ven.,The operational leader is Marcel van der Ven.,Neutral,admiration,happiness,neutral
Hij maakt er jarenlang deel uit van een specialistische eenheid...,Hij maakt er jarenlang deel uit van een specialistische eenheid...,He has been part of a specialist unit there for many years...,Neutral,admiration,happiness,neutral
die georganiseerde misdaad en terrorisme bestrijdt.,die georganiseerde misdaad en terrorisme bestrijdt.,that fights organized crime and terrorism.,Neutral,admiration,happiness,neutral
En hij weet hoe moeilijk het voor een wortvluchtige is...,En hij weet hoe moeilijk het voor een wortvluchtige is…,And he knows how hard it is for a wort fugitive...,Sadness,realization,surprise,sadness
om onder de radar te blijven.,om onder de radar te blijven.,to stay under the radar.,Neutral,fear,fear,neutral
Het moeilijkste van op de vlucht zijn...,Het moeilijkste van op de vlucht zijn...,The hardest part about being on the run...,Sadness,fear,fear,fear
is dat je je niet laat leiden door je stress.,is dat je je niet laat leiden door je stress.,is that you don't let your stress guide you.,anger,nervousness,fear,fear
Dat niet te veel mensen van je vlucht afweten.,Dat niet te veel mensen van je vlucht afweten.,That not too many people know about your flight.,Neutral,fear,fear,fear
Dus wat je van plan bent.,Dus wat je van plan bent.,So what are you up to.,Neutral,curiosity,neutral,neutral
"Want je verrader, die slaapt nooit.","Want je verrader, die slaapt nooit.","Because your traitor, he never sleeps.",Anger,fear,fear,fear
Hij stuurt een team aan van tactisch rechercheurs.,Hij stuurt een team aan van tactisch rechercheurs.,He directs a team of tactical investigators.,Neutral,admiration,happiness,neutral
Op Rotterdam Centraal zijn wortvluchtigen herkend.,Op Rotterdam Centraal zijn wortvluchtigen herkend.,Wort fugitives have been recognized at Rotterdam Central Station.,Neutral,surprise,surprise,neutral
"Analysten, digitale rechercheurs en drie mobiele hunterteams.","Analysten, digitale rechercheurs en drie mobiele hunterteams.","Analysts, digital detectives and three mobile hunter teams.",Neutral,admiration,happiness,neutral
De wortvluchtigen worden gezien als AAA-criminelen.,De wortvluchtigen worden gezien als AAA-criminelen.,The wort volatiles are considered AAA criminals.,Neutral,disapproval,disgust,neutral
En daarom zijn de bevoegdheden van dit team groot.,En daarom zijn de bevoegdheden van dit team groot.,And that is why the powers of this team are great.,Happiness,admiration,happiness,happiness
