text,main_category,Emotion
And I stop.,neutral,disgust
Do you think he has crossed more limits than you?,neutral,fear
Is that I have not put myself to keep in front of everyone,neutral,neutral
"I haven't even put myself in the hammocks, or anything.",neutral,disgust
"I have had to keep it, I have done it in my bed.",neutral,neutral
"And above, I have done little.",sadness,fear
How are you going to act from now?,neutral,surprise
As I am doing it.,neutral,disgust
"Me, Sergio, I like it.",happiness,disgust
"Sergio draws the best of me, Sandra.",happiness,anger
And ... and I'm going to let myself carry.,happiness,fear
"Ruth, seeing Marieta's images made you reconsider.",surprise,disgust
I will have to apologize in your video,sadness,fear
When I talk to him for thinking he was.,sadness,fear
"And ... as I have already been touched, I don't want to investigate anymore.",sadness,fear
There could be no more.,neutral,disgust
But Sandra has done the same thing that does to me.,anger,surprise
The same dust.,disgust,surprise
Nor has it innovated.,sadness,anger
And you have innovated with Sergio?,neutral,neutral
"Something different, at least, I say it.",happiness,disgust
"When I see Álex in that guinely context,",sadness,fear
I do not identify it.,sadness,fear
"I mean, it is not so with me.",sadness,sadness
I think it's the Alex who doesn't want to teach me,sadness,surprise
or he did not want to teach me this year and a half,sadness,surprise
And the one I have asked to teach me many times.,sadness,surprise
The bonfire is not over yet.,neutral,sadness
This is the necklace of the veto.,neutral,anger
With him you will be able to veto one of the single,neutral,surprise
so that I cannot maintain any contact,sadness,fear
With your boyfriends.,neutral,anger
He will have to leave the town for a whole day.,neutral,neutral
And it is also an opportunity to send a message,neutral,surprise
To your boyfriends.,neutral,anger
"Girls, I leave you some time for you to decide",neutral,fear
What a single you are going to veto.,neutral,fear
"Yours, who is the most heavy that goes, goes from Chulita.",anger,surprise
You have to give it a little of ...,neutral,fear
"I would obviously vend Gabriela, aunt.",anger,neutral
"To me, what you say.",neutral,disgust
"Obviously, I want to veto Gabriela",anger,neutral
Because I would like Alex to remember me at some point.,anger,surprise
You have to give it a brake.,anger,fear
Stop a little.,anger,happiness
Do you have clear your intentions,neutral,fear
Why do you want to veto for 24 hours?,neutral,fear
Let's veto Gabriela,anger,anger
Because it is the most advanced.,anger,anger
"And to also send a message to Álex,",anger,disgust
"A touch of attention,",neutral,anger
Because I think the line is passing,anger,fear
and that deserves a punishment.,anger,anger
I would like to see if in those 24 hours,neutral,fear
Gabriela or me more than less.,neutral,neutral
What do you think?,neutral,fear
Do you miss Gabriela or me?,fear,neutral
"Girls, you just made a decision.",neutral,disgust
Gabriela will receive the veto necklace.,neutral,anger
That means that Villa Playa will leave,neutral,fear
"for the first time on the island of temptations,",surprise,anger
The veto will give you power ...,surprise,disgust
to face face to face with temptation.,surprise,anger
"We do not understand, Sandra. We are all like ...",surprise,surprise
"Very soon you will understand it, girls.",neutral,fear
The bonfire is over. You can leave.,neutral,fear
Thank you. Thank you.,happiness,disgust
"Already, please, home because ...",neutral,anger
"I can't more, I really say it, uncle.",anger,fear
"I don't know, the truth is that I have been scratched.",sadness,disgust
I don't know what he meant.,sadness,fear
Will they be the fact that they have tried to abandon,neutral,disgust
To a new girl?,neutral,surprise
"No, or that when ...",sadness,anger
I don't know.,sadness,fear
Let's see if they vent and send it home.,anger,anger
"I have been quite scratched, I don't know what we are going to face.",fear,fear
I hope it is not to put Gabriela in front of me.,fear,fear
Let's go!,anger,anger
Quite bad. Very badly.,sadness,sadness
"What happens, beautiful?",neutral,anger
Are you OK?,fear,disgust
"The previous one that was, but worse.",anger,surprise
It is already a bad person.,anger,surprise
"He started to give a girl's voice and said,",sadness,neutral
"Child, my love, take your little book and turn on",happiness,happiness
"that the Canary Islands are volcanoes,",neutral,anger
getting to me.,anger,neutral
Talk about me as if I had fucked here at ten.,anger,surprise
"What a pity, son, who has not said it.",sadness,sadness
"And now, to finish finishing off,",anger,anger
She has told her that Mariona is a temptation for her.,surprise,surprise
"That follows, yes, yes.",neutral,disgust
Has your girlfriend ever been with girls?,neutral,disgust
I just short -circuit.,sadness,neutral
"Mine continues in its line,",neutral,neutral
"He has put the kid for the room,",neutral,neutral
He has thrown it and little else.,neutral,anger
I have hit him a leg ...,neutral,fear
A torch of those and little else.,anger,anger
"That is, the red alarms were ...",sadness,anger
For her. One era of mine and an was his.,neutral,surprise
How about yours?,neutral,fear
What has you done?,neutral,fear
Have you taken the kid to bed?,neutral,fear
"No, no, no.",neutral,anger
"It has proposed to go to sleep and there the images have ended,",neutral,neutral
Going to sleep.,neutral,anger
To bed? Or at night?,neutral,surprise
And then he said something else exciting.,happiness,neutral
"That does not endure the remote relationship,",sadness,surprise
that he is overcoming him and that he would not have to leave him.,happiness,fear
What says ...,sadness,anger
No matter what...,neutral,anger
Was the coat ...,sadness,neutral
"For you, Dami?",neutral,surprise
"I, my girlfriend has changed single.",surprise,neutral
"And now Álvaro, Álvaro Bois.",neutral,happiness
"No. Yes, yes.",neutral,disgust
That is Álvaro here.,neutral,anger
Don't worry.,happiness,anger
You are not worried.,neutral,fear
The truth is that less ten worries me.,neutral,anger
"If I had a 1 % doubt that I could fall with the Italian,",fear,disgust
Now I have zero.,sadness,fear
Mine have been more worrying than last time.,fear,neutral
"Yes, it is getting closer, it is very close here and such.",fear,sadness
All the time there and little else.,neutral,neutral
And then they have told us about one.,neutral,surprise
"And they have vetoed Álvaro, some bastards.",anger,surprise
What you just arrived!,sadness,surprise
We have vetoed Álvaro because both Adrián and me,neutral,sadness
We want to see how far our girlfriends arrive.,neutral,sadness
Nico's makes no sense because there is no approach.,sadness,neutral
His girlfriend Marieta has already fallen.,neutral,anger
I don't wait for you!,anger,sadness
¡What doesn't kill you makes you stronger!,anger,surprise
¡Stand a little taller!,neutral,anger
¡Dance with me! ¡Buenas!,happiness,surprise
"Hello, children. Hello.",neutral,anger
How are you?,neutral,disgust
Do you see you all good?,neutral,fear
¡Dance with me!,happiness,surprise
"Mariona, that I want to listen to her, please.",neutral,fear
"Let's see, Adri has changed single.",surprise,happiness
Now it's with ...,neutral,anger
"I see him a connection, which did not expect.",surprise,surprise
And he said something type of ...,neutral,disgust
He had never considered being unfaithful so far.,surprise,sadness
Have you said? Yeah.,neutral,disgust
"Well David in his line, nonsense with Zaira.",anger,neutral
But what hurt me is that she has entered her room,sadness,surprise
And he has started playing with the stuffed animal that I gave David.,anger,neutral
What a disrespect.,anger,anger
I hope that when I see those images put it in place.,neutral,fear
"If not, we will have a problem.",fear,anger
"Guarreo, in all videos, is seen from behind.",anger,surprise
I have not seen a look.,sadness,disgust
Are the images we have seen? Yeah.,neutral,neutral
Have you seen you? Yeah.,neutral,disgust
"She was from her boyfriend. Yes, from the dust.",neutral,surprise
Orja continues with its fouls.,anger,sadness
Still without putting any limit.,anger,neutral
And he told Andrea that he is on the edge of the precipice.,fear,neutral
"Nothing, mine is still the same.",neutral,neutral
"With his yel, happy, happy.",happiness,fear
A crazy complicity has been seen.,surprise,happiness
He was noticed to kiss her Heavy.,anger,fear
And the most heavy of all is that you have made me rethink things,surprise,fear
How to go alone.,neutral,surprise
"He said that, he said that.",sadness,disgust
Go alone? Yeah.,neutral,surprise
"Wait, wait, something else. Haven't someone been vetoed?",sadness,sadness
What isn't there? And the vet is?,sadness,neutral
"¡You, you, you!",surprise,fear
Mine. So that?,neutral,surprise
"Let it be tested, don't see it.",anger,anger
"Leave it, know him.",anger,anger
"Please, single, I ask you for a party up",happiness,disgust
And I want this villa above as Villa Playboy.,happiness,fear
"Let's go, let's go!",happiness,anger
"After this hollow, I'm a little better.",happiness,fear
I have finally been able to see images and I am no longer frozen.,happiness,sadness
I keep seeing images that are not to my liking,sadness,fear
"And I still disappoint a little more and more,",sadness,disgust
But I come wanting to have fun with my mountain village.,happiness,disgust
The tattoo of great disappointment.,sadness,sadness
"You said you wanted her,",sadness,fear
But in love it does not get in condition.,sadness,surprise
"From time to time, you fell in love.",sadness,surprise
"That you did not know how to love is evident,",anger,surprise
But the one who is wrong to regret.,sadness,surprise
So it was difficult to forget it.,sadness,disgust
If you look into her eyes already ...,neutral,disgust
"Maria, do you know how to dance bachata you?",neutral,disgust
What is Álvaro talking?,sadness,anger
Maria does not want to know anything. He is afraid.,fear,surprise
"Yes, I am afraid of death.",fear,fear
"Well come, come.",neutral,happiness
"Álvaro, Álvaro, not.",anger,anger
Come What's the matter?,neutral,anger
I don't want.,anger,fear
"Yes, look, look at the girl.",neutral,surprise
"David and I have a lot of confidence,",happiness,surprise
But I'm afraid of approaching Álvaro,fear,fear
"because there may be images that you don't like,",fear,fear
Because in the end it has been a person who has been in my life,fear,surprise
And I would not like it to be the other way around.,fear,sadness
If you look into her eyes ...,neutral,disgust
"I said I used to be such a bad, I can't be the one.",sadness,surprise
And David with his ear smile to ear?,fear,surprise
"Today I had no smile, huh?",sadness,disgust
The bonfire has a chopped.,sadness,disgust
"The images were not coming, it was like that.",sadness,surprise
No no. Because?,sadness,anger
"Let's see, a little yes, but ...",neutral,fear
"It was very minced, boludo.",anger,disgust
"And here comes the stick that no, huh?",sadness,anger
"But I was the same, but I was the same.",neutral,fear
Do you notice your eyes?,sadness,fear
Yes. Does it scare you zero?,fear,sadness
It gives me the little thing even that they have been bundled and we say ...,fear,neutral
Know? But it is not afraid.,surprise,anger
It is more anger than fear.,anger,sadness
"Of course, it's more ...",surprise,anger
That they are here together and have ...,neutral,neutral
"Of course, of course, of course.",surprise,surprise
They have had a brochure cartoon.,sadness,neutral
But not fear.,surprise,sadness
Because I have spoken 200 times out.,anger,surprise
What will you do now inside?,neutral,fear
A new Carluces would have to have.,sadness,fear
"It is ready, I trust because it is ready.",happiness,sadness
"They say that where there was fire there are ashes,",surprise,fear
But that's because they didn't know that I was the firefighter,neutral,surprise
And where I am firefighter there are no ashes.,neutral,fear
"I don't know what he could see, I swear.",sadness,disgust
What are you talking about like this? And you go from ...,sadness,surprise
Are you going as a good girl and talk about me?,anger,fear
It makes no sense at any time.,sadness,neutral
"It makes no sense, he is going ...",sadness,neutral
The clamp is going.,sadness,anger
And do you think I could solve it?,surprise,disgust
Was things talked well? Okay.,neutral,anger
But I know that it is no longer.,sadness,fear
It will be put ...,sadness,fear
"It is going to put on, pum, full.",anger,anger
And I'm not going to consent.,anger,fear
"Above that you talk like that about me, come and get like this.",anger,disgust
"Girl, lift it, you know?",neutral,disgust
I always thought it was the woman with whom I wanted to spend my future,sadness,sadness
And I felt cheated.,sadness,disgust
I start thinking and say ...,surprise,neutral
Who do I have a year of relationships with?,sadness,disgust
"""...same time"".",neutral,surprise
"-""You're way too beautiful, girl"".",sadness,sadness
"-""When you say it's over"".",sadness,disgust
Can I enter? Yeah.,neutral,disgust
I have done one thing. What thing?,neutral,neutral
Like a kind of ring.,neutral,anger
And why do you hide?,neutral,disgust
"What's happening? In fact, by hand.",sadness,neutral
It smells like you.,happiness,disgust
I took Nico's and I put on his.,neutral,fear
"Here, no, here.",neutral,anger
Let's see. Are this going to happen to this?,sadness,disgust
"I'm going to tell you, did you want to come to Paris?",neutral,surprise
"Well, I keep it. I'm going to keep it here, look.",neutral,neutral
With my special things.,happiness,anger
"And this, takes ass today.",anger,surprise
Did you like it? I loved it.,happiness,surprise
I loved a lot.,happiness,surprise
"Much, much, a lot. From here to Paris?",happiness,surprise
No? If you like.,neutral,disgust
If you like?,neutral,disgust
"No, if you want.",neutral,disgust
That's why? I want?,sadness,fear
Are you going to take me to Paris? Yeah.,happiness,fear
"Miguel has given me a fairly peculiar ring,",surprise,neutral
"In addition, and great.",happiness,sadness
And it is true that he has taken a smile,happiness,neutral
After how bad I have had at the bonfire.,sadness,sadness
"That skirt, small,",neutral,anger
How beautiful you look.,happiness,disgust
I saw her every day.,neutral,fear
"Now is when ... no, listen to me well!",anger,fear
"No, I don't have the head today ...",sadness,fear
To do ...,neutral,anger
But we can sleep together.,happiness,disgust
It is unfair that I lie with you today,sadness,sadness
After what I have seen.,sadness,fear
"It is unfair to you, it is unfair to me.",sadness,neutral
"If I go now and go to you with you,",sadness,disgust
So what will you do?,neutral,fear
Sleep with you.,happiness,disgust
"I want your company, I want to talk, I want ...",happiness,fear
That you take care of me.,happiness,disgust
"We sleep together, I give you heat ...",happiness,disgust
"If you want to sleep with me, you can sleep.",happiness,fear
I don't force you.,neutral,disgust
You have the four free.,neutral,fear
It would be a pleasure.,happiness,fear
I saw it in a movie and I always wanted to do it.,happiness,sadness
I wanted to do it.,happiness,fear
Tonight I'm going to sleep with Sergio.,neutral,sadness
We are just sleeping.,neutral,anger
"Because I need that support, I need that love.",happiness,surprise
"The weighs, the little pests.",anger,anger
I need a quiet night.,happiness,fear
They won't prosper where you loved me.,sadness,fear
What do you feel?,neutral,surprise
I didn't feel anything.,neutral,surprise
"Well, anger, my love.",anger,anger
"But come on, ...",neutral,anger
I just wanted to come here.,neutral,fear
And see your face that you have.,neutral,anger
That he endures.,happiness,anger
The worst thing is that all that has said it ...,sadness,neutral
Without seeing anything.,sadness,anger
"I mean, he has fucked it without seeing anything.",anger,sadness
"Come on, it hasn't been exactly the same.",neutral,fear
He sweats it from the first moment.,anger,surprise
Like raining hair.,sadness,anger
I fuck me because you also sold it to say,anger,disgust
I feel bad.,sadness,surprise
"Of course, I am a cool next to her.",happiness,disgust
What I thought.,surprise,fear
"It is true that we are different, but ...",neutral,disgust
I wouldn't do that either.,anger,fear
"My love, I'm very close to 30.",fear,fear
I didn't like that nonsense.,anger,sadness
"Ok, my love.",neutral,fear
Aurela always gets a smile,happiness,sadness
"And after the stake I had, I needed it even more.",happiness,sadness
I load the battery like this.,neutral,disgust
"With looking at me, he has already loaded it to me.",happiness,surprise
Yours has not spoken badly about you.,happiness,disgust
It was not what you expected.,sadness,fear
"But it was close, huh?",surprise,anger
I have said ...,neutral,disgust
I said ...,neutral,disgust
I can't get so close to Andrea.,fear,fear
I'm going to hit more.,happiness,fear
Do you think that you will have biased someone too?,neutral,fear
"I believe that if they put us, it is to realize.",surprise,disgust
Because our girlfriends will be crazy.,fear,sadness
"Well, I see you very quiet.",neutral,fear
It will be Zahira or you.,neutral,disgust
"Well, I think so.",neutral,fear
"If your girlfriend is intelligent like you, he will not petar.",happiness,fear
"Nor of Coña, my girlfriend is crazy.",happiness,anger
"This Crazy, of the songs.",happiness,anger
Ana is very rabid and once acts in a negative plan.,anger,disgust
And I have never put it so to the limit.,happiness,sadness
We will see how we advance.,happiness,anger
And I love the thing.,happiness,neutral
And where are you?,neutral,disgust
"Yes, because I was super -deputy, but I have done well.",happiness,fear
Thanks for everything.,happiness,anger
I love you very well.,happiness,disgust
I love you very well. Already?,happiness,disgust
Not as a friend.,neutral,surprise
At the moment.,neutral,surprise
Until the advance.,neutral,anger
I already know.,surprise,disgust
Confess you want!,neutral,disgust
You are very handsome!,happiness,fear
Not always for peace!,anger,sadness
What I'm having with Napoli,neutral,disgust
I am not doing it for revenge or spite.,neutral,disgust
"He is a person who, for me, is important, above all, here.",happiness,disgust
"I don't see you for you, dance with me!",happiness,surprise
I don't see you well.,neutral,fear
I can't see you!,anger,fear
You can't come from a bonfire,anger,surprise
and come with a fucking smile and so quiet,anger,fear
After what you have heard.,anger,neutral
"I didn't come so quiet, what happens is that my mind does ...",sadness,surprise
"I have not seen this, I have not heard this.",neutral,disgust
"And everything erased, that's it, right?",surprise,anger
"I'm going to open my eyes, aunt.",happiness,fear
I know what I want to show me.,surprise,fear
"But sometimes, when they show you different things",neutral,fear
"And they touch you, fuck.",anger,fear
You look more at my mouth than in the eye.,neutral,surprise
"I look at your mouth because you laugh, not because I want to kiss you.",neutral,surprise
But would you not kiss me?,neutral,fear
"You are my storm, really, but I love my boyfriend.",sadness,fear
"What do you need? See how you are fucking,",anger,disgust
How you have to kiss to see the value that each person has.,surprise,fear
"If Adri falls, I won a kiss.",happiness,disgust
"It hurts that Adri can be with me,",sadness,disgust
"It hurts that Adri may be liked,",sadness,disgust
"nor that it is a bit monica,",sadness,disgust
"In bed, Val, there is no one. Let's go there.",happiness,surprise
They are going to tell me that I am crazy.,fear,fear
Because? Because with the other day I reacted.,sadness,disgust
"Super fearful, scared.",fear,anger
And today ...,neutral,anger
On the contrary.,surprise,anger
Maybe you are opening your eyes a bit.,surprise,sadness
"Well, it can be.",neutral,fear
"And on the other hand you are you, that ...",neutral,disgust
"You arrive with an earthquake,",surprise,fear
"What do you make me ask me to kiss you, you know?",sadness,disgust
"Thus, out of nowhere.",surprise,surprise
You didn't smile when you said it. Clear.,surprise,surprise
And not breasts or anything.,sadness,anger
"It is very strong what it transmits, do you know, Monica?",happiness,disgust
"I sign for this naturalness, I sign.",happiness,neutral
"Accounts you've thrown a peo and it's funny, you know?",happiness,neutral
"It is like that, uncle.",neutral,anger
Do not bite your lip.,anger,fear
You are the most beautiful in the entire town.,happiness,fear
On the outside?,sadness,disgust
DIRE IN THE NO?,sadness,fear
Monica is making it very difficult.,anger,neutral
"It gives me a lot of hugs, I feel a lot of heat.",happiness,surprise
"Nico, no, huh?",anger,anger
"¿Eh? No, no.",sadness,anger
I don't feel like seeing Arrut's photos.,sadness,surprise
"I have kept them in the suitcase,",neutral,fear
I don't feel like having them on my table.,sadness,surprise
I always lay down giving a kiss to the photo,happiness,sadness
and stroking the amulet that gave me.,neutral,anger
"But seeing what I'm seeing,",surprise,disgust
I wanted to remove them.,sadness,surprise
Miguel makes me a ring.,surprise,neutral
Let's see it.,neutral,anger
"Marí, where are you going?",neutral,disgust
Let's see the ring.,neutral,anger
"He tells me, this is the ring to invite you to Paris.",happiness,fear
"Oh, aunt, how beautiful!",happiness,anger
"Mónica, I love you!",happiness,disgust
"Now out of coña, do you think it is a trolley or is it true?",neutral,fear
That is true.,neutral,neutral
"I think it's not a trolley, aunt, like you.",happiness,disgust
Miguel seems more real than Zanetti.,surprise,fear
It is that Zanetti is your friend.,neutral,anger
"You with Zanetti, nothing.",anger,sadness
But with Miguel I think he can ...,neutral,fear
"It is funny, the ring is funny!",happiness,anger
"Ring, ring, ring!",happiness,anger
And what did he tell me?,neutral,surprise
"Physically it is true that it can be the prototype that I such,",surprise,disgust
"Because it resembles Nico, if they look at you.",neutral,sadness
You have not believed it or you.,sadness,fear
"May you want Nico, I buy it.",happiness,disgust
"But that Miguel is better than Nico,",happiness,disgust
"It is better than Nico, end.",happiness,surprise
"Well, do we dance a little longer?",happiness,anger
Why does Miguel get jealous?,neutral,surprise
"Look, look how he will look at me now.",neutral,surprise
Look how he will look at me.,neutral,surprise
Does anyone bathe with me in the pool that is raining?,neutral,sadness
I come with you.,happiness,disgust
Miguel does not give a tip without a thread!,anger,sadness
"Listen, listen, not just Miguel.",neutral,fear
For the love of that woman!,happiness,neutral
Like all men are a thorny floor!,anger,sadness
I just want the singles to leave here saying,happiness,fear
I want a girlfriend like Ruth.,happiness,fear
"That is the fucking woman's dream that every man wants,",happiness,neutral
I know it.,neutral,fear
Miguel is feeling that I'm really a person,surprise,fear
that the ground can move and I think ...,surprise,fear
Feel for me.,happiness,surprise
Are you going to sleep?,neutral,fear
He goes to sleep.,neutral,happiness
"Chao, good night.",neutral,anger
How is the dead?,neutral,anger
"This is not going to take off, no.",sadness,disgust
"It comes to me, right?",neutral,anger
I told myself to take care that this evil that will happen to me when.,fear,disgust
What told you?,neutral,disgust
"No, how crazy it is cold and you sleep so normal.",sadness,disgust
Did I hug you?,neutral,surprise
How heavy you are.,anger,fear
"Baby, it's magic and it turns us back together.",happiness,neutral
I make her just love you and hold you for my hand.,happiness,disgust
"Hold you for my hand, my hand, my hand.",happiness,happiness
"Hold you for my hand, hold you for my hand.",happiness,neutral
Hold you for my hand.,happiness,neutral
What to fuck.,anger,anger
I'll tell you.,neutral,fear
Brush me and tell me that I am wrong.,happiness,fear
Open me and ask me forgiveness.,happiness,sadness
"Open me and ask me forgiveness, Tommy.",happiness,sadness
"Whenever I'm broken, you make me feel whole.",happiness,surprise
How are you? Tell me.,neutral,disgust
What have you done? The same dust you do with me?,sadness,fear
What have both taken you? They have been happy.,neutral,sadness
Did I enjoy you well?,neutral,surprise
Leave it free.,neutral,anger
"Finally and finally, we femaled pa 'ti.",happiness,disgust
It hurts me to think that Alex may not be remembering me,sadness,disgust
When I am doing it.,neutral,fear
I name it many times in the town,neutral,fear
And what is happening to us hurts.,sadness,neutral
Until the night is over.,neutral,anger
I can't believe we're finally alone.,happiness,disgust
I can't believe...,surprise,disgust
"Every day I see you more beautiful, daughter. Look at what I tell you.",happiness,surprise
You are changing feeling.,neutral,disgust
"If you weren't,",neutral,fear
I would have given me Meggie.,neutral,disgust
"No, if I weren't, maybe I would have given me Meggie.",neutral,disgust
My relationship with Marieta is over here,surprise,surprise
And yes I see myself with Gabriela.,happiness,fear
"At first, no, now I see Gabriela out.",sadness,surprise
"They are very, very glued, very caramented.",anger,neutral
"Well, what you have to be, it will be, you will see it.",happiness,fear
"Will we have another appointment or what, now after the work?",neutral,neutral
"Man, I hope so.",happiness,fear
Do you feel like? Yeah.,neutral,surprise
Stop your arm.,anger,happiness
"What did I tell you? We will see, we will see.",neutral,surprise
"Tomorrow, I will open you tomorrow.",neutral,fear
And do you use your blanket? You want it?,happiness,fear
"I'm going to be very cold tonight, I don't want to.",neutral,sadness
"Yes, yes, come, come.",happiness,disgust
"Pa 'that hi hagi, I'm not good.",sadness,disgust
"Good night, dad. I love it, okay?",happiness,neutral
"Well, Andrea, I'm getting more at ease,",happiness,neutral
But right now I'm worried,fear,fear
Because Ana is getting closer and more to Naples,neutral,neutral
"Well, tonight you've been fine.",happiness,sadness
What a joy you are happy.,happiness,disgust
"Already, now, you see you.",neutral,disgust
"CH, CH, CH.",neutral,neutral
What a joy you are in a happy night.,happiness,disgust
"Already, now, this.",neutral,happiness
"Already, that's it, that's it!",anger,anger
"Do you want the shirt, Valeria?",neutral,sadness
"If you give it to me, do I wear it?",neutral,disgust
What's that?,neutral,anger
What is it?,neutral,anger
Are you going to wake me up tomorrow?,neutral,disgust
We have arrived.,neutral,anger
"I like it when Napoli is close to me,",happiness,fear
But I'm afraid that the option will happen to me,fear,fear
to kiss Napoli,happiness,surprise
And for the moment I feel that I am not prepared to do it.,fear,surprise
"I am very with you,",happiness,disgust
"But I prefer to rest in your room, aunt.",happiness,fear
"What do I do, aunt?",sadness,fear
"I like your flip flops, I'm going to stay.",happiness,disgust
Is it coming?,neutral,surprise
"If you have to bring something from above, bring it.",neutral,surprise
It's tyrant.,anger,anger
So you are not here with the clothes are partying?,sadness,disgust
"Already, now, pussy.",anger,happiness
I keep the amphibians to sleep.,neutral,neutral
"""Tú Apagas is this?""",sadness,disgust
"No, give me another.",happiness,anger
I want to sleep Chucho,happiness,disgust
"And it is, as now I take it with pleasure.",neutral,neutral
"That's, I want to sleep Chucho.",happiness,disgust
You'll see how now I take it with pleasure.,neutral,fear
Tonight I sleep with Julen.,neutral,neutral
I feel like it.,happiness,surprise
"I want to give him a hug, he too,",happiness,fear
But I don't think anything else happens.,neutral,disgust
I am not stone either.,surprise,fear
I like that you do that,happiness,disgust
"And I'm containing, you flip me.",sadness,disgust
What's the matter?,neutral,anger
I'm going to bed.,neutral,fear
A rhyme for the last time.,neutral,anger
That you are a danger.,anger,disgust
I have stopped carrying with Monica.,surprise,neutral
I have come to pass the kiss barrier.,surprise,surprise
"I liked it, I can't deny it.",happiness,disgust
"After kissing her, everything has been complicated",sadness,neutral
And I have continued thinking that Mariona is stronger than that kiss.,surprise,fear
"I don't want to, I don't want to, I don't want this.",anger,fear
I don't want to continue anymore.,anger,sadness
Yesterday I kissed Monica.,neutral,neutral
"Ok, what was born to you.",neutral,disgust
"Yes, but it was 15 or 20 seconds and they have already been enough for ...",surprise,disgust
To realize that I cannot advance here with Monica or anyone.,surprise,sadness
And why did you take the step yesterday?,neutral,sadness
"Sometimes giving a kiss is going well for me,",neutral,sadness
But sometimes not.,neutral,anger
"Sometimes giving a kiss is going well to know if you flow more,",neutral,sadness
"Well, it's like, host, okay, I continue with this girl and so on.",neutral,sadness
"But it was to kiss him and start scratching and saying,",sadness,neutral
"Ok, I can't anymore.",anger,disgust
"What happens, Adri?",neutral,neutral
I have realized that now I want more than I thought.,surprise,sadness
She always tells me that ...,neutral,sadness
Better you are more in love than her.,neutral,fear
You have realized that you want her more than you think,surprise,sadness
I have lifted crap.,anger,fear
I have realized that Mariona is above,surprise,sadness
of all kisses or everything you can do,surprise,disgust
And I would not like Mariona to not understand it.,fear,fear
"Good morning, dear jazz.",neutral,disgust
Can I make you coffee?,happiness,fear
"No, I'm going to do it.",neutral,fear
"Yes, that's fine, it's very good.",happiness,disgust
I got up calmly with Julen next to.,neutral,neutral
"I do not feel bad, I am not thinking at this time in Adri.",neutral,surprise
"In the end I have been myself, he has wanted me and that is what matters.",happiness,surprise
And I woke up with a red sunrise,neutral,disgust
That dyes the sun and feel bread and drops,neutral,surprise
I just want to shout,anger,neutral
"Do not say anything, run and open pa 'me",fear,neutral
That this pain goes fast,happiness,sadness
What is this shirt?,neutral,sadness
I've been smelling her all night.,neutral,disgust
We are facing in the room,neutral,anger
"Raise, get up.",neutral,anger
Are you going to wash?,neutral,fear
What do not see you?,sadness,disgust
I have closed eyes.,neutral,fear
"This thing you are doing is a super intimate part, do you know?",neutral,disgust
I prefer this than everything else.,neutral,disgust
Right now you don't dare to put on cream.,fear,neutral
"Wake up, fix you, do this, do you know?",neutral,fear
And this too.,neutral,disgust
Napoli has come to wake up.,neutral,happiness
He already told me he was going to do it.,neutral,neutral
In the end we started the day together.,neutral,neutral
We started the day speaking.,neutral,neutral
So I wake up well.,neutral,disgust
I didn't think I was going to miss Ana.,surprise,neutral
I have less barbaric.,neutral,fear
"In the morning, it's not me.",neutral,disgust
"How are you, Brother?",neutral,sadness
Have you slept well?,neutral,fear
"That goes, I woke up having nightmares.",fear,surprise
You will have the opportunity to talk to her and that's it.,neutral,fear
And it will give you the explanations you have to give.,neutral,fear
What she is doing is spending as mature.,anger,surprise
"But he is shitting, brother.",anger,sadness
"You will have your reason, bro.",neutral,fear
"You will not see what to tell you, I believe.",neutral,disgust
What will tell you?,neutral,disgust
You already have to know that the Maduro is you.,surprise,neutral
Because she is given the flapa.,sadness,surprise
"That is, you go and explain it.",neutral,disgust
"Because this is telling me if I love you, you have respected yourself,",sadness,disgust
"And he is telling you this, he has no kind, you know?",anger,neutral
Today I wake up a little thoughtful.,neutral,disgust
"After what I found in the bonfire,",sadness,disgust
I am a little lost.,sadness,fear
"If tomorrow we can't talk and that does not change,",sadness,sadness
I can't afford to be with a person,sadness,surprise
That he is able to talk about me.,anger,anger
You have an energy that is Bacana,happiness,fear
You put on Saturday to my week,happiness,fear
You don't have friends,anger,fear
Don't we sit here?,neutral,anger
"I'm sorry, I don't want to get in the water yet.",fear,sadness
It will not cost me a little more.,neutral,anger
Are you going to be here?,neutral,fear
"I don't know, I got the ...",sadness,neutral
"I mean, I got the intuition that he wants to kiss her",neutral,neutral
And he doesn't kiss her for ...,neutral,surprise
"That is, there are still many days, maybe he kisses her.",happiness,disgust
Do you love you?,neutral,fear
"If you love me, I don't know that.",sadness,fear
Do you think you've really loved yourself?,neutral,fear
What happened to that?,neutral,surprise
"I don't know, in the end, when do you have to be loved?",sadness,surprise
"That is, when you have relationships, what you do is compare.",surprise,fear
And I compare and say ...,surprise,fear
There and not here.,sadness,happiness
"Yes, but it is strong to say that ...",fear,disgust
I ask you if they really loved you,neutral,disgust
And tell me that once.,surprise,disgust
"Because here you are realizing that no, maybe.",surprise,fear
Has he wanted me well out of here?,neutral,surprise
"Yes, but then I think, yes,",sadness,disgust
"But a person who loves you well,",sadness,disgust
"Do what he has done, I don't know.",sadness,fear
Your eyes see disappointment.,sadness,anger
A lot of disappointment all the time.,sadness,surprise
What face will I get home to my mother?,fear,fear
"The person she saw that she looked at me like nobody,",sadness,surprise
"is looking at another and, apart, considering continuing without me",sadness,surprise
"And, apart, playing the Hielito, which was unthinkable.",anger,disgust
